process_step,failure_mode,effect,likely_cause,current_control,recommended_action,follow_up_role
ST50,critical machining launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST50,inspection  /  leak surrogate launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST50,assembly preparation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST50,fixture load  /  unload consideration launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Maintenance + test technician] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Maintenance + test technician
ST90,connector seating confirmation launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST90,connector fit confirmation station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST130,torque-controlled fastening launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST130,torque verification station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Launch production engineering] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Launch production engineering
ST150,barcode  /  serial pairing launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering + IT/MES] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering + IT/MES
ST150,barcode pairing station launch bottleneck,"Launch disruption, defect escape, or traceability loss",line_launch,first_article_and_launch_control,"[Owner: Production engineering + IT/MES] Candidate bottleneck under launch conditions; verify staffing, fixture loading, and data capture time.",Production engineering + IT/MES
